label,point_count,center,number_candidates
148,25436,[1268 6294],"[(1052, 1106, 6258, 6315)]"
149,23851,[1044 5303],"[(1017, 1071, 5280, 5337)]"
151,111931,[1161 6010],"[(1121, 1175, 6112, 6176)]"
152,65344,[1378 4832],"[(1482, 1536, 4794, 4857)]"
155,16648,[1083 5077],"[(1081, 1136, 5032, 5096)]"
156,27536,[1170 4848],"[(1096, 1150, 4835, 4898)]"
157,3616,[1012 5622],"[(990, 1045, 5586, 5644)]"
158,4955,[1021 5471],"[(1003, 1057, 5430, 5488)]"
159,27633,[1135 4694],"[(1153, 1207, 4646, 4710)]"
162,10082,[1199 4476],"[(1240, 1292, 4445, 4516)]"
163,17656,[1138 4409],"[(1049, 1103, 4371, 4429)]"
164,2442,[1047 6005],"[(1019, 1074, 5974, 6037)]"
166,28969,[1238 3994],"[(1215, 1269, 3958, 4021)]"
167,2599,[1050 6179],"[(1023, 1078, 6152, 6210)]"
168,8921,[1093 3900],"[(1039, 1094, 3923, 3987)]"
169,4553,[1165 4767],"[(1164, 1205, 4730, 4792)]"
170,52591,[1206 4217],"[(1204, 1258, 4180, 4243)]"
171,148409,[1244 5657],"[(1180, 1234, 5587, 5650)]"
172,1729,[1090 4323],"[(1066, 1119, 4299, 4349)]"
173,5128,[1103 3372],"[(1064, 1117, 3311, 3373)]"
174,13891,[1264 4638],"[(1294, 1349, 4618, 4682)]"
176,21120,[1547 5351],"[(1562, 1616, 5329, 5405)]"
178,9415,[1147 5286],"[(1110, 1158, 5255, 5315)]"
179,73038,[1460 4413],"[(1479, 1533, 4370, 4434)]"
180,56756,[1286 3544],"[(1262, 1316, 3579, 3643)]"
181,4538,[1167 5061],"[(1141, 1187, 5047, 5106)]"
182,14050,[1340 4275],"[(1385, 1439, 4247, 4310)]"
184,13831,[1203 3474],"[(1177, 1231, 3435, 3493)]"
185,102270,[1382 5190],"[(1232, 1287, 5245, 5308)]"
186,2294,[1157 3490],"[(1133, 1177, 3455, 3519)]"
190,308737,[2361 5752],"[(1451, 1506, 5918, 5993), (2106, 2161, 5745, 5820), (2570, 2625, 5664, 5739)]"
193,89939,[1436 6094],"[(1524, 1579, 6023, 6081)]"
194,5020,[1242 5113],"[(1214, 1258, 5086, 5151)]"
195,10255,[1221 3690],"[(1207, 1261, 3737, 3800)]"
197,2644,[1222 5736],"[(1200, 1248, 5707, 5767)]"
198,12527,[1256 5044],"[(1206, 1261, 5026, 5089)]"
199,4701,[1281 4963],"[(1252, 1303, 4935, 4988)]"
200,3157,[1244 3875],"[(1217, 1265, 3841, 3909)]"
201,1616,[1231 3666],"[(1207, 1253, 3632, 3699)]"
208,2651,[1307 5694],"[(1288, 1341, 5660, 5723)]"
209,8813,[1361 1859],"[(1395, 1449, 1825, 1888)]"
211,33026,[1388 3168],"[(1313, 1354, 3166, 3222), (1335, 1390, 3875, 3939), (1439, 1482, 2495, 2552)]"
