label,point_count,center,number_candidates
131,6276,[ 691 6291],"[(670, 721, 6256, 6323)]"
132,6670,[ 712 1177],"[(689, 744, 1163, 1237)]"
133,5862,[ 710 1295],"[(684, 739, 1278, 1341)]"
135,564333,[1280 6770],"[(971, 1025, 6903, 6978), (1058, 1113, 6706, 6780), (1286, 1341, 6903, 6977), (1330, 1385, 6589, 6663)]"
136,8645,[ 744 1025],"[(764, 819, 1006, 1080)]"
138,8921,[776  52],"[(700, 754, 16, 93)]"
140,5146,[ 726 7013],"[(724, 768, 6928, 6991)]"
142,13004,[ 748 6171],"[(718, 773, 6140, 6215)]"
144,6362,[ 784 7823],"[(742, 794, 7829, 7899)]"
148,44528,[ 803 1216],"[(778, 833, 1305, 1380)]"
150,12225,[ 760 6578],"[(728, 783, 6562, 6639)]"
151,8499,[ 777 6331],"[(730, 785, 6327, 6401)]"
152,5246,[ 771 1406],"[(741, 796, 1365, 1439)]"
153,9928,[ 790 6864],"[(806, 861, 6766, 6838)]"
154,86446,[ 898 2948],"[(877, 931, 3026, 3090)]"
155,5216,[ 792 3197],"[(745, 799, 3165, 3223)]"
157,9878,[ 898 3256],"[(949, 1004, 3226, 3303)]"
158,125986,[1102 1541],"[(829, 883, 1221, 1297), (1301, 1356, 1945, 2021)]"
159,11178,[ 850 3372],"[(809, 863, 3338, 3414)]"
160,11417,[ 822 6728],"[(822, 877, 6622, 6695)]"
163,23793,[ 944 6783],"[(962, 1017, 6675, 6749)]"
164,4751,[ 823 7840],"[(797, 850, 7802, 7874)]"
165,32615,[1050 7486],"[(1104, 1149, 7426, 7490)]"
167,72646,[1329 3280],"[(1498, 1553, 3228, 3302)]"
169,3166,[ 846 3292],"[(826, 881, 3257, 3330)]"
170,3284,[ 894 3190],"[(890, 945, 3164, 3210)]"
174,108138,[ 934 2284],"[(898, 953, 2498, 2561), (919, 973, 1982, 2045)]"
175,1811,[ 876 2658],"[(851, 898, 2639, 2680)]"
176,12776,[ 895 7673],"[(878, 933, 7610, 7684)]"
178,9927,[ 903 7821],"[(853, 908, 7773, 7848)]"
179,1631,[880  57],"[(865, 908, 38, 95)]"
181,14494,[ 978 6361],"[(1009, 1064, 6212, 6286)]"
182,2131,[ 920 3341],"[(884, 926, 3320, 3365)]"
184,2520,[ 883 6513],"[(858, 905, 6483, 6549)]"
185,2535,[ 916 3296],"[(892, 942, 3263, 3326)]"
186,3769,[ 908 7859],"[(879, 933, 7825, 7898)]"
187,21187,[1145 5650],"[(1016, 1056, 5664, 5720)]"
188,4147,[ 933 7685],"[(928, 972, 7630, 7693)]"
189,29862,[1157 1712],"[(1207, 1262, 1739, 1814)]"
190,2326,[ 924 6026],"[(898, 947, 5994, 6063)]"
191,2474,[ 917 1600],"[(891, 938, 1565, 1622)]"
193,114986,[1445 2678],"[(1261, 1316, 2650, 2726), (1463, 1518, 2633, 2710)]"
196,737,[ 930 6273],"[(912, 949, 6245, 6302)]"
197,2780,[ 942 7724],"[(924, 970, 7688, 7752)]"
198,5818,[1010 7539],"[(967, 1020, 7522, 7595)]"
199,4235,[ 987 3420],"[(965, 1019, 3386, 3456)]"
200,88674,[1128 2022],"[(1154, 1209, 2476, 2540), (1189, 1244, 1922, 1985)]"
201,11971,[1032 7667],"[(1036, 1091, 7590, 7664)]"
203,3258,[1033 3338],"[(1034, 1089, 3309, 3361)]"
205,9777,[1066 3370],"[(1056, 1110, 3330, 3404)]"
206,4434,[ 995 6490],"[(968, 1023, 6448, 6523)]"
207,6393,[ 995 1674],"[(975, 1030, 1655, 1724)]"
208,77222,[1351 7198],"[(1436, 1490, 6959, 7034)]"
209,57860,[1025 2157],"[(1008, 1063, 2082, 2145)]"
210,3504,[ 981 7827],"[(960, 1008, 7782, 7850)]"
211,2862,[1005 5848],"[(984, 1032, 5814, 5881)]"
212,10986,[1039 6030],"[(981, 1034, 6038, 6110)]"
213,29950,[1022 2959],"[(998, 1053, 2833, 2897)]"
214,20382,[1078 5118],"[(1094, 1148, 4984, 5048)]"
215,8771,[1020 7809],"[(990, 1044, 7815, 7889)]"
218,1815,[1014 3274],"[(990, 1036, 3250, 3307)]"
220,5495,[1092 2648],"[(1083, 1138, 2623, 2672)]"
221,39013,[1068 5415],"[(1013, 1067, 5424, 5498)]"
222,7222,[1096 6005],"[(1170, 1209, 5858, 5914)]"
223,1764,[1028 2710],"[(1002, 1056, 2685, 2734)]"
224,63210,[1167 5130],"[(1163, 1218, 5031, 5105)]"
228,10418,[1160 5766],"[(1194, 1248, 5734, 5807)]"
231,12432,[1134 7846],"[(1077, 1132, 7818, 7893)]"
232,11895,[1115 7628],"[(1099, 1154, 7574, 7649)]"
233,15379,[1135 7692],"[(1168, 1223, 7559, 7632)]"
234,17743,[1078 3023],"[(1055, 1109, 2966, 3029)]"
235,3806,[1101 5841],"[(1083, 1128, 5804, 5869)]"
237,48484,[1351 3648],"[(1314, 1369, 3609, 3686)]"
240,66528,[1244 5551],"[(1185, 1240, 5476, 5551)]"
241,1794,[1085 6200],"[(1060, 1109, 6176, 6232)]"
242,23134,[1105 2397],"[(1068, 1123, 2314, 2378)]"
243,3721,[1099 6508],"[(1081, 1127, 6468, 6533)]"
244,4241,[1102 5535],"[(1080, 1130, 5495, 5564)]"
245,51897,[1177 3008],"[(1160, 1215, 2795, 2859)]"
246,20352,[1139 2142],"[(1115, 1170, 2076, 2140)]"
247,130153,[1141 4216],"[(1107, 1162, 4377, 4441), (1113, 1167, 3898, 3961)]"
248,4257,[1103 2831],"[(1075, 1129, 2784, 2849)]"
251,5079,[1108 1877],"[(1086, 1136, 1856, 1921)]"
253,18375,[1376 3187],"[(1391, 1446, 3149, 3207)]"
254,8746,[1135 6342],"[(1112, 1167, 6294, 6368)]"
255,3279,[1111 2162],"[(1090, 1136, 2140, 2199)]"
257,1038,[1141 3286],"[(1122, 1161, 3273, 3301)]"
258,7395,[1254 3307],"[(1175, 1226, 3285, 3349)]"
259,13267,[1149 6813],"[(1112, 1164, 6821, 6892)]"
261,9643,[1164 7255],"[(1143, 1197, 7214, 7291)]"
264,3060,[1145 5886],"[(1119, 1169, 5855, 5924)]"
265,12942,[1187 7706],"[(1146, 1201, 7698, 7773)]"
267,3394,[1146 6231],"[(1117, 1163, 6208, 6273)]"
271,1135,[1159 2679],"[(1136, 1184, 2664, 2698)]"
274,70617,[1239 4660],"[(1189, 1244, 3785, 3860), (1189, 1244, 4718, 4793), (1234, 1289, 5179, 5253)]"
277,3952,[1195 5917],"[(1145, 1186, 5917, 5979)]"
278,7538,[1170 1813],"[(1147, 1202, 1760, 1834)]"
281,6601,[1179 2325],"[(1152, 1207, 2294, 2357)]"
284,1739,[1231 2590],"[(1216, 1254, 2572, 2616)]"
285,12646,[1255 5970],"[(1238, 1293, 5925, 5999)]"
286,3224,[1218 7365],"[(1176, 1230, 7330, 7403)]"
287,9815,[1198 2991],"[(1173, 1228, 2958, 3033)]"
288,7236,[1225 6489],"[(1217, 1259, 6419, 6481)]"
290,5219,[1262 7378],"[(1260, 1299, 7321, 7380)]"
291,11344,[1295 3408],"[(1253, 1308, 3379, 3455)]"
294,937666,[2479 7170],"[(1364, 1418, 7775, 7851), (1737, 1792, 7214, 7291), (1763, 1815, 7711, 7792), (2208, 2263, 7332, 7409), (2292, 2346, 7106, 7183), (2682, 2736, 7030, 7107), (2760, 2814, 7315, 7391), (3201, 3255, 6816, 6893)]"
296,4283,[1208 4512],"[(1187, 1230, 4492, 4553)]"
297,12667,[1360 5716],"[(1267, 1321, 5690, 5765)]"
298,10623,[1210 4138],"[(1191, 1234, 4305, 4365)]"
303,4705,[1257 6469],"[(1226, 1271, 6450, 6515)]"
306,20975,[1317 7659],"[(1332, 1386, 7592, 7666)]"
307,15255,[1289 7506],"[(1247, 1302, 7480, 7554)]"
308,21162,[1255 2159],"[(1221, 1276, 2166, 2241)]"
313,2341,[1314 2558],"[(1324, 1378, 2528, 2576)]"
315,53280,[1304 2344],"[(1265, 1320, 2366, 2429)]"
319,5485,[1292 5536],"[(1283, 1336, 5473, 5546)]"
321,70449,[1291 4200],"[(1254, 1309, 4304, 4368), (1257, 1312, 4141, 4205)]"
322,9530,[1273 3099],"[(1250, 1305, 3126, 3190)]"
323,38323,[1319 2948],"[(1281, 1336, 2815, 2878)]"
325,2141,[1286 5381],"[(1246, 1287, 5390, 5447)]"
326,11900,[1337 7566],"[(1361, 1408, 7452, 7519)]"
327,2838,[1346 3370],"[(1341, 1385, 3352, 3387)]"
328,2952,[1299 6178],"[(1280, 1331, 6134, 6204)]"
329,4776,[1334 2585],"[(1307, 1362, 2555, 2612)]"
330,2271,[1311 3530],"[(1294, 1344, 3508, 3557)]"
333,103420,[1524 7390],"[(1435, 1489, 7312, 7384)]"
335,4492,[1293 3829],"[(1267, 1318, 3804, 3865)]"
337,4276,[1309 5409],"[(1278, 1333, 5351, 5415)]"
339,2638,[1301 6064],"[(1272, 1322, 6037, 6106)]"
341,251857,[1411 4747],"[(1343, 1398, 4790, 4853), (1414, 1469, 5445, 5508), (1425, 1480, 4022, 4085)]"
343,7441,[1300 5048],"[(1280, 1322, 4901, 4960)]"
344,28994,[1394 5972],"[(1360, 1415, 6016, 6091)]"
345,1479,[1322 3500],"[(1297, 1347, 3480, 3520)]"
349,17585,[1397  409],"[(1306, 1361, 307, 380)]"
354,716,[1327 7074],"[(1310, 1346, 7045, 7103)]"
357,9229,[1382 6379],"[(1371, 1426, 6315, 6390)]"
361,5041,[1466 6144],"[(1477, 1532, 6121, 6175)]"
362,28910,[1583 5735],"[(1628, 1683, 5688, 5764)]"
364,35611,[1376 4129],"[(1359, 1413, 3885, 3948)]"
366,10874,[1505 3789],"[(1528, 1581, 3777, 3852)]"
368,82495,[1779 5902],"[(1831, 1886, 5762, 5839)]"
369,4076,[1385 7155],"[(1362, 1411, 7120, 7188)]"
372,196946,[1580 2184],"[(1447, 1501, 2170, 2233)]"
373,176523,[1620 2934],"[(1510, 1565, 2872, 2936)]"
375,4997,[1423 2014],"[(1405, 1446, 2018, 2071)]"
379,14642,[1466 6730],"[(1451, 1506, 6681, 6755)]"
383,2271,[1465  293],"[(1446, 1491, 276, 311)]"
384,15578,[1546 3389],"[(1528, 1583, 3347, 3422)]"
385,2513,[1415 2568],"[(1388, 1441, 2539, 2602)]"
386,1653,[1451 5812],"[(1432, 1478, 5794, 5829)]"
388,12127,[1619 3145],"[(1714, 1769, 3085, 3149)]"
389,8007,[1583 6115],"[(1514, 1568, 6095, 6137)]"
390,9239,[1479 6268],"[(1448, 1503, 6256, 6329)]"
391,5029,[1450 6026],"[(1428, 1483, 6010, 6073)]"
393,3548,[1501 2578],"[(1431, 1466, 2552, 2606)]"
394,9910,[1516  342],"[(1494, 1548, 302, 375)]"
395,2492,[1489 6344],"[(1458, 1504, 6319, 6368)]"
396,201060,[1912 1472],"[(1833, 1888, 1398, 1461)]"
398,9756,[1490 6468],"[(1462, 1517, 6473, 6546)]"
400,24703,[1516 5962],"[(1492, 1546, 5925, 5993)]"
402,2487,[1481  409],"[(1444, 1495, 380, 434)]"
404,324193,[1615 4420],"[(1499, 1553, 4961, 5030), (1552, 1607, 4456, 4524), (1635, 1690, 4083, 4152)]"
406,19108,[1703 2555],"[(1496, 1551, 2543, 2603)]"
407,6734,[1523 3435],"[(1456, 1510, 3375, 3450)]"
409,46960,[1603 1719],"[(1525, 1579, 1716, 1780)]"
412,2702,[1507   39],"[(1483, 1538, 15, 63)]"
413,24152,[1796 1787],"[(1593, 1648, 1797, 1861)]"
414,708204,[2233  852],"[(1954, 2009, 1003, 1072), (1993, 2047, 1159, 1227), (2246, 2300, 348, 417), (2256, 2311, 890, 959), (2318, 2372, 1250, 1318)]"
415,3170,[1532 7631],"[(1529, 1576, 7604, 7661)]"
416,984,[1489  243],"[(1466, 1512, 224, 264)]"
417,20268,[1640 1327],"[(1619, 1663, 1352, 1416)]"
418,10325,[1563 7810],"[(1567, 1622, 7770, 7844)]"
420,25507,[1651 2492],"[(1640, 1695, 2467, 2530)]"
