label,point_count,center,number_candidates
36,28115,[3201   11],"[(3586, 3618, 0, 16), (3638, 3709, 0, 16), (3690, 3734, 0, 16), (3715, 3756, 0, 16), (4119, 4228, 0, 16)]"
37,321,[1054    5],[]
